user_id,product_id,fit_preferences,weight,height,size_1,percentage_1,size_2,percentage_21,7,perfect,108,187,XXL,81%,XL,56%
2,8,perfect,73,174,M,90%,L,41%
3,5,tighter,95,188,L,76%,XL,58%
4,1,perfect,99,182,XL,93%,L,44%
5,4,perfect,92,177,XL,68%,L,63%
6,9,perfect,68,170,M,89%,S,50%
7,3,perfect,82,174,L,86%,M,55%
8,3,tighter,75,173,M,91%,S,48%
9,7,tighter,79,170,M,96%,S,41%
10,2,looser,70,161,M,95%,L,43%
11,8,perfect,83,180,L,92%,M,39%
12,5,perfect,96,181,XL,87%,L,46%
13,7,tighter,75,164,M,76%,S,62%
14,0,perfect,85,175,L,94%,M,41%
15,1,tighter,83,175,M,87%,L,51%
16,7,perfect,77,171,M,85%,L,53%
17,9,tighter,88,183,L,89%,M,51%
18,7,perfect,77,162,M,95%,L,42%
19,8,looser,83,176,L,68%,XL,62%
20,0,perfect,82,172,L,81%,M,54%
21,9,looser,78,172,L,93%,M,40%
22,5,looser,88,176,XL,84%,L,49%
23,9,looser,67,168,M,96%,L,43%
24,6,perfect,102,191,XL,94%,L,38%
25,4,tighter,72,172,M,77%,S,53%
26,1,tighter,86,173,M,79%,L,59%
27,5,perfect,82,175,L,86%,M,47%
28,1,perfect,93,184,XL,84%,L,55%
29,8,tighter,78,171,M,92%,S,39%
30,7,perfect,69,173,M,94%,S,43%
32,0,perfect,95,188,XL,96%,L,39%
33,6,tighter,87,181,L,82%,M,58%
34,1,perfect,92,175,L,71%,XL,67%
35,5,looser,91,176,XL,91%,L,42%
36,7,tighter,86,178,L,70%,M,68%
37,0,tighter,88,175,L,72%,M,63%
38,8,tighter,82,170,M,92%,L,39%
39,8,tighter,73,167,M,69%,S,61%
40,0,perfect,73,163,M,94%,S,41%
41,5,tighter,77,172,M,94%,S,40%
42,9,perfect,87,183,L,80%,XL,60%
43,1,perfect,75,165,M,96%,L,41%
44,7,tighter,72,167,S,70%,M,68%
45,0,perfect,74,171,M,93%,L,42%
46,4,looser,85,178,XL,75%,L,55%
47,6,perfect,84,173,L,91%,M,48%
48,6,perfect,94,183,XL,86%,L,54%
49,1,tighter,86,175,M,75%,L,63%
50,5,perfect,95,185,XL,88%,L,45%
51,3,looser,74,164,M,78%,L,63%
52,0,perfect,90,178,L,74%,XL,61%
53,1,tighter,78,173,M,96%,S,41%
54,8,looser,81,171,L,87%,XL,43%
55,0,looser,76,170,L,84%,M,50%
57,4,looser,85,173,XL,67%,L,63%
58,0,looser,86,179,XL,87%,L,47%
59,6,tighter,89,180,L,88%,M,52%
60,9,tighter,94,177,L,95%,XL,44%
61,2,perfect,89,181,L,74%,XL,66%
62,0,tighter,89,176,L,79%,M,55%
63,7,looser,87,187,XL,92%,L,45%
64,0,tighter,74,170,M,83%,S,52%
65,1,looser,80,181,L,79%,XL,59%
66,9,looser,69,165,M,94%,L,40%
67,9,looser,83,173,L,79%,XL,61%
68,8,perfect,99,184,XL,92%,XXL,39%
70,6,looser,88,174,XL,83%,L,57%
71,7,perfect,83,175,L,90%,M,47%
72,3,perfect,93,179,XL,82%,L,59%
73,8,perfect,79,176,L,71%,M,59%
74,7,tighter,73,171,M,82%,S,56%
75,5,perfect,97,184,XL,91%,L,42%
76,2,perfect,92,180,XL,77%,L,64%
77,1,perfect,90,182,XL,71%,L,67%
78,6,perfect,99,183,XL,94%,L,44%
79,1,tighter,88,168,M,81%,L,58%
80,9,tighter,75,167,M,83%,S,57%
81,8,tighter,81,171,M,93%,L,38%
82,9,looser,89,173,XL,91%,L,49%
83,3,tighter,107,187,XL,96%,XXL,43%
84,9,looser,77,177,L,95%,XL,44%
85,7,tighter,72,167,S,70%,M,68%
86,8,tighter,84,180,M,69%,L,61%
87,0,looser,93,169,XL,95%,L,39%
88,4,perfect,87,175,L,91%,XL,40%
89,9,perfect,78,173,M,76%,L,64%
90,8,tighter,88,183,L,85%,M,45%
91,8,perfect,90,182,XL,68%,L,62%
92,5,looser,81,165,L,94%,M,39%
93,4,perfect,81,179,L,88%,M,42%
94,5,looser,79,164,L,88%,M,46%
95,8,perfect,74,170,M,92%,L,39%
96,9,tighter,74,165,M,74%,S,66%
97,6,tighter,86,182,L,80%,M,60%
98,2,looser,81,169,L,93%,XL,46%
99,1,perfect,77,168,M,89%,L,48%
100,4,tighter,79,176,M,94%,L,37%
101,4,perfect,90,177,L,74%,XL,56%
102,1,looser,75,169,L,78%,M,60%
103,3,tighter,69,168,S,78%,M,62%
104,4,perfect,80,173,L,71%,M,59%
105,4,perfect,82,177,L,89%,M,42%
106,8,tighter,80,174,M,92%,L,39%
107,0,perfect,71,171,M,96%,S,39%
108,7,tighter,74,168,M,80%,S,58%
109,2,looser,77,175,L,95%,M,44%
110,8,tighter,78,171,M,92%,S,39%
111,8,tighter,84,176,M,78%,L,52%
112,8,perfect,90,173,L,81%,XL,49%
113,8,perfect,92,181,XL,76%,L,53%
114,9,looser,80,175,L,89%,XL,50%
115,5,perfect,73,170,M,95%,L,38%
116,4,tighter,100,187,XL,76%,L,54%
117,8,looser,91,176,XL,95%,L,37%
118,8,looser,85,173,XL,67%,L,63%
119,9,perfect,80,172,L,72%,M,68%
120,0,perfect,100,182,XL,93%,XXL,41%
121,7,tighter,75,161,M,69%,S,67%
122,8,perfect,81,174,L,77%,M,53%
123,3,looser,73,170,M,71%,L,69%
124,0,tighter,67,159,S,90%,M,44%
125,7,tighter,86,183,L,82%,M,57%
126,3,tighter,90,180,L,90%,M,49%
127,3,perfect,80,171,M,70%,L,68%
128,5,looser,88,179,XL,87%,L,46%
129,0,looser,84,176,XL,70%,L,64%
130,4,tighter,77,168,M,90%,S,41%
131,6,tighter,86,171,M,84%,L,56%
132,7,perfect,74,167,M,96%,L,41%
133,6,perfect,83,181,L,95%,XL,43%
134,2,looser,80,173,L,92%,XL,48%
136,6,perfect,94,180,XL,82%,L,58%
137,0,looser,78,173,L,94%,M,41%
138,4,perfect,80,173,L,71%,M,59%
139,2,tighter,75,172,M,91%,S,49%
141,2,looser,76,174,L,92%,M,48%
142,4,perfect,78,168,M,83%,L,47%
143,8,perfect,81,168,M,66%,L,63%
144,0,tighter,82,171,M,93%,L,41%
145,6,looser,92,176,XL,93%,L,45%
146,5,perfect,82,179,L,91%,M,42%
147,8,tighter,90,181,L,88%,M,42%
148,8,perfect,97,180,XL,92%,L,39%
149,7,tighter,71,168,S,72%,M,67%
150,9,perfect,94,184,XL,92%,L,47%
151,4,looser,80,171,L,92%,XL,39%
152,2,perfect,66,165,M,72%,S,69%
153,6,looser,88,179,XL,88%,L,51%
154,8,tighter,76,177,M,94%,S,38%
155,1,looser,76,164,L,73%,M,65%
156,0,looser,89,176,XL,93%,L,42%
157,1,tighter,80,174,M,95%,L,42%
158,0,tighter,66,157,S,93%,M,41%
159,5,tighter,79,174,M,96%,L,38%
160,2,perfect,83,165,L,74%,M,67%
161,3,looser,79,163,L,87%,M,53%
162,1,perfect,76,174,M,84%,L,54%
163,8,looser,89,184,XL,94%,XXL,38%
164,2,perfect,91,170,L,86%,XL,54%
165,2,tighter,86,170,M,85%,L,56%
166,9,looser,80,165,L,92%,M,47%
167,8,tighter,73,168,M,71%,S,59%
168,7,tighter,71,171,M,72%,S,66%
169,1,looser,77,166,L,83%,M,55%
170,8,looser,90,177,XL,94%,L,38%
171,6,looser,76,173,L,90%,M,49%
172,7,tighter,92,183,L,94%,XL,43%
173,4,tighter,76,173,M,93%,S,39%
174,9,perfect,90,182,XL,73%,L,67%
175,7,perfect,80,167,M,78%,L,60%
177,6,tighter,79,171,M,93%,S,44%
178,6,looser,86,173,XL,75%,L,65%
179,0,looser,73,164,M,82%,L,53%
180,0,perfect,82,171,L,78%,M,56%
181,7,looser,81,173,L,88%,XL,49%
182,9,perfect,94,176,XL,81%,L,59%
183,2,perfect,74,168,M,96%,L,43%
184,8,perfect,88,169,L,92%,XL,39%
