user_id,product_id,rating
1,7_XXL,0.81
1,0_L,0.18999999999999995
1,3_XL,0.58
2,8_M,0.9
2,9_XXL,0.07999999999999996
2,6_L,0.43
3,5_L,0.76
3,3_XXL,0.21999999999999997
3,6_XL,0.62
4,1_XL,0.93
5,4_XL,0.68
5,7_XXL,0.29000000000000004
6,6_M,0.9
6,9_XL,0.10999999999999999
6,1_S,0.46
7,8_L,0.81
7,3_XL,0.14
8,8_M,0.88
8,3_XL,0.08999999999999997
8,2_S,0.48
9,0_M,0.95
9,7_XL,0.040000000000000036
10,2_M,0.95
10,4_XL,0.050000000000000044
11,8_L,0.92
11,2_XXL,0.050000000000000044
12,4_XL,0.87
12,5_S,0.13
13,1_M,0.75
13,7_L,0.24
14,0_L,0.94
14,5_XXL,0.06000000000000005
15,1_M,0.87
15,3_XXL,0.13
16,8_M,0.8
16,7_XXL,0.15000000000000002
16,3_L,0.56
17,9_L,0.89
17,6_XXL,0.10999999999999999
18,0_M,0.94
18,7_XXL,0.050000000000000044
18,5_L,0.39
19,8_L,0.68
19,6_XXL,0.27
20,0_L,0.81
20,2_XXL,0.17000000000000004
21,9_L,0.93
21,6_S,0.06000000000000005
22,5_XL,0.84
22,1_M,0.15000000000000002
22,9_L,0.43
23,9_M,0.96
23,7_S,0.040000000000000036
23,4_L,0.36
24,6_XL,0.94
24,3_M,0.27
24,8_XXL,0.62
25,4_M,0.77
25,0_L,0.21999999999999997
25,7_S,0.59
26,8_M,0.75
26,1_XXL,0.20999999999999996
26,9_L,0.61
27,5_L,0.86
27,4_XL,0.14
28,1_XL,0.84
28,3_M,0.09999999999999998
29,8_M,0.92
29,0_XXL,0.06000000000000005
30,2_M,0.95
30,7_L,0.06000000000000005
30,1_S,0.4
31,8_L,0.67
31,5_XXL,0.31999999999999995
32,4_XL,0.91
32,8_M,0.06000000000000005
32,0_L,0.39
33,8_L,0.78
33,6_S,0.18000000000000005
33,9_M,0.58
34,1_L,0.71
34,4_M,0.33999999999999997
34,9_XL,0.65
35,6_XL,0.92
35,5_S,0.08999999999999997
35,2_L,0.47
36,0_L,0.69
36,7_XXL,0.30000000000000004
37,0_L,0.72
37,1_XL,0.26
38,8_M,0.92
38,9_S,0.06000000000000005
38,4_L,0.38
39,8_M,0.69
39,9_L,0.29000000000000004
39,0_S,0.63
40,4_M,0.94
40,1_XL,0.06000000000000005
40,0_S,0.41
41,8_M,0.91
41,5_XXL,0.06000000000000005
42,5_L,0.79
42,9_XXL,0.19999999999999996
43,4_M,0.95
43,1_XXL,0.040000000000000036
44,9_S,0.67
44,0_XL,0.31999999999999995
44,7_M,0.68
45,5_M,0.93
45,0_XL,0.06999999999999995
45,3_L,0.46
46,1_XL,0.78
46,4_S,0.25
47,5_L,0.9
47,6_XL,0.08999999999999997
48,6_XL,0.86
48,3_XXL,0.08999999999999997
49,4_M,0.71
49,9_XXL,0.28
49,1_L,0.63
50,5_XL,0.88
50,8_M,0.07999999999999996
51,7_M,0.77
51,3_XL,0.21999999999999997
51,9_L,0.62
52,7_L,0.75
52,5_XXL,0.27
52,0_XL,0.61
53,9_M,0.95
53,1_L,0.040000000000000036
53,0_S,0.39
54,8_L,0.87
54,7_XXL,0.08999999999999997
54,3_XL,0.49
55,0_L,0.84
55,5_S,0.16000000000000003
55,2_M,0.54
56,0_M,0.74
57,4_XL,0.67
58,0_XL,0.87
59,6_L,0.88
60,4_L,0.94
60,9_XXL,0.050000000000000044
60,3_XL,0.44
61,2_L,0.74
61,6_XL,0.06000000000000005
62,0_L,0.79
62,1_S,0.18999999999999995
63,4_XL,0.91
